,time,temperature_2m (°C),precipitation (mm),rain (mm),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),windspeed_10m (km/h)
6480,2019-05-02 06:00:00,0.55,0.0,0.0,1.0,0.99,0.05,0.94,0.0220048899755501
6481,2019-05-02 06:15:00,0.55,0.0,0.0,1.0,0.99,0.05,0.94,0.0220048899755501
6482,2019-05-02 06:30:00,0.5449999999999999,0.0,0.0,1.0,0.99,0.01,0.5,0.0562347188264058
6483,2019-05-02 06:45:00,0.5449999999999999,0.0,0.0,1.0,0.99,0.01,0.5,0.0562347188264058
6484,2019-05-02 07:00:00,0.5449999999999999,0.0,0.0,1.0,0.99,0.01,0.5,0.0562347188264058
6485,2019-05-02 07:15:00,0.5449999999999999,0.0,0.0,1.0,0.99,0.01,0.5,0.0562347188264058
6486,2019-05-02 07:30:00,0.55,0.0,0.0,1.0,0.89,0.0,0.83,0.1051344743276283
6487,2019-05-02 07:45:00,0.55,0.0,0.0,1.0,0.89,0.0,0.83,0.1051344743276283
6488,2019-05-02 08:00:00,0.55,0.0,0.0,1.0,0.89,0.0,0.83,0.1051344743276283
6489,2019-05-02 08:15:00,0.55,0.0,0.0,1.0,0.89,0.0,0.83,0.1051344743276283
6490,2019-05-02 08:30:00,0.5475,0.0,0.0,0.86,0.93,0.0,0.07,0.0880195599022004
6491,2019-05-02 08:45:00,0.5475,0.0,0.0,0.86,0.93,0.0,0.07,0.0880195599022004
6492,2019-05-02 09:00:00,0.5475,0.0,0.0,0.86,0.93,0.0,0.07,0.0880195599022004
6493,2019-05-02 09:15:00,0.5475,0.0,0.0,0.86,0.93,0.0,0.07,0.0880195599022004
6494,2019-05-02 09:30:00,0.5625,0.0,0.0,1.0,0.91,0.03,0.74,0.0660146699266503
6495,2019-05-02 09:45:00,0.5625,0.0,0.0,1.0,0.91,0.03,0.74,0.0660146699266503
6496,2019-05-02 10:00:00,0.5625,0.0,0.0,1.0,0.91,0.03,0.74,0.0660146699266503
6497,2019-05-02 10:15:00,0.5625,0.0,0.0,1.0,0.91,0.03,0.74,0.0660146699266503
6498,2019-05-02 10:30:00,0.5599999999999999,0.0,0.0,1.0,0.92,0.14,0.97,0.097799511002445
6499,2019-05-02 10:45:00,0.5599999999999999,0.0,0.0,1.0,0.92,0.14,0.97,0.097799511002445
6500,2019-05-02 11:00:00,0.5599999999999999,0.0,0.0,1.0,0.92,0.14,0.97,0.097799511002445
6501,2019-05-02 11:15:00,0.5599999999999999,0.0,0.0,1.0,0.92,0.14,0.97,0.097799511002445
6502,2019-05-02 11:30:00,0.5725,0.0,0.0,1.0,0.88,0.11,0.97,0.1026894865525672
6503,2019-05-02 11:45:00,0.5725,0.0,0.0,1.0,0.88,0.11,0.97,0.1026894865525672
6504,2019-05-02 12:00:00,0.5725,0.0,0.0,1.0,0.88,0.11,0.97,0.1026894865525672
6505,2019-05-02 12:15:00,0.5725,0.0,0.0,1.0,0.88,0.11,0.97,0.1026894865525672
6506,2019-05-02 12:30:00,0.5824999999999999,0.0,0.0,1.0,0.8,0.2,0.87,0.1173594132029339
6507,2019-05-02 12:45:00,0.5824999999999999,0.0,0.0,1.0,0.8,0.2,0.87,0.1173594132029339
6508,2019-05-02 13:00:00,0.5824999999999999,0.0,0.0,1.0,0.8,0.2,0.87,0.1173594132029339
6509,2019-05-02 13:15:00,0.5824999999999999,0.0,0.0,1.0,0.8,0.2,0.87,0.1173594132029339
6510,2019-05-02 13:30:00,0.6074999999999999,0.0,0.0,1.0,0.58,0.42,0.93,0.1344743276283618
