time,temperature_2m (°C),precipitation (mm),rain (mm),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),windspeed_10m (km/h)
2019-02-01 06:00:00,0.019999999999999973,0.0,0.0,0.01,0.0,0.01,0.0,0.1784841075794621
2019-02-01 06:15:00,0.019999999999999973,0.0,0.0,0.01,0.0,0.01,0.0,0.1784841075794621
2019-02-01 06:30:00,0.02749999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.16625916870415647
2019-02-01 06:45:00,0.02749999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.16625916870415647
2019-02-01 07:00:00,0.02749999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.16625916870415647
2019-02-01 07:15:00,0.02749999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.16625916870415647
2019-02-01 07:30:00,0.019999999999999973,0.0,0.0,0.0,0.0,0.0,0.0,0.16625916870415647
2019-02-01 07:45:00,0.019999999999999973,0.0,0.0,0.0,0.0,0.0,0.0,0.16625916870415647
2019-02-01 08:00:00,0.019999999999999973,0.0,0.0,0.0,0.0,0.0,0.0,0.16625916870415647
2019-02-01 08:15:00,0.019999999999999973,0.0,0.0,0.0,0.0,0.0,0.0,0.16625916870415647
2019-02-01 08:30:00,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.13936430317848408
2019-02-01 08:45:00,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.13936430317848408
2019-02-01 09:00:00,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.13936430317848408
2019-02-01 09:15:00,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.13936430317848408
2019-02-01 09:30:00,0.002499999999999991,0.0,0.0,0.01,0.0,0.0,0.04,0.1198044009779951
2019-02-01 09:45:00,0.002499999999999991,0.0,0.0,0.01,0.0,0.0,0.04,0.1198044009779951
2019-02-01 10:00:00,0.002499999999999991,0.0,0.0,0.01,0.0,0.0,0.04,0.1198044009779951
2019-02-01 10:15:00,0.002499999999999991,0.0,0.0,0.01,0.0,0.0,0.04,0.1198044009779951
2019-02-01 10:30:00,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.13447432762836187
2019-02-01 10:45:00,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.13447432762836187
2019-02-01 11:00:00,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.13447432762836187
2019-02-01 11:15:00,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.13447432762836187
2019-02-01 11:30:00,0.007499999999999974,0.0,0.0,0.18,0.0,0.28,0.04,0.10757946210268948
2019-02-01 11:45:00,0.007499999999999974,0.0,0.0,0.18,0.0,0.28,0.04,0.10757946210268948
2019-02-01 12:00:00,0.007499999999999974,0.0,0.0,0.18,0.0,0.28,0.04,0.10757946210268948
2019-02-01 12:15:00,0.007499999999999974,0.0,0.0,0.18,0.0,0.28,0.04,0.10757946210268948
2019-02-01 12:30:00,0.0125,0.0,0.0,0.89,0.0,1.0,0.98,0.1515892420537897
2019-02-01 12:45:00,0.0125,0.0,0.0,0.89,0.0,1.0,0.98,0.1515892420537897
2019-02-01 13:00:00,0.0125,0.0,0.0,0.89,0.0,1.0,0.98,0.1515892420537897
2019-02-01 13:15:00,0.0125,0.0,0.0,0.89,0.0,1.0,0.98,0.1515892420537897
2019-02-01 13:30:00,0.025,0.0,0.0,0.87,0.0,0.96,0.97,0.17114914425427874
2019-02-01 13:45:00,0.025,0.0,0.0,0.87,0.0,0.96,0.97,0.17114914425427874
2019-02-01 14:00:00,0.025,0.0,0.0,0.87,0.0,0.96,0.97,0.17114914425427874
2019-02-01 14:15:00,0.025,0.0,0.0,0.87,0.0,0.96,0.97,0.17114914425427874
2019-02-01 14:30:00,0.057499999999999975,0.0,0.0,0.88,0.0,0.97,0.98,0.1784841075794621
2019-02-01 14:45:00,0.057499999999999975,0.0,0.0,0.88,0.0,0.97,0.98,0.1784841075794621
2019-02-01 15:00:00,0.057499999999999975,0.0,0.0,0.88,0.0,0.97,0.98,0.1784841075794621
2019-02-01 15:15:00,0.057499999999999975,0.0,0.0,0.88,0.0,0.97,0.98,0.1784841075794621
2019-02-01 15:30:00,0.075,0.0,0.0,0.88,0.0,0.97,0.98,0.16625916870415647
2019-02-01 15:45:00,0.075,0.0,0.0,0.88,0.0,0.97,0.98,0.16625916870415647
2019-02-01 16:00:00,0.075,0.0,0.0,0.88,0.0,0.97,0.98,0.16625916870415647
2019-02-01 16:15:00,0.075,0.0,0.0,0.88,0.0,0.97,0.98,0.16625916870415647
2019-02-01 16:30:00,0.085,0.0,0.0,0.88,0.0,0.98,0.98,0.17603911980440096
2019-02-01 16:45:00,0.085,0.0,0.0,0.88,0.0,0.98,0.98,0.17603911980440096
2019-02-01 17:00:00,0.085,0.0,0.0,0.88,0.0,0.98,0.98,0.17603911980440096
2019-02-01 17:15:00,0.085,0.0,0.0,0.88,0.0,0.98,0.98,0.17603911980440096
2019-02-01 17:30:00,0.1,0.0,0.0,0.91,0.05,0.98,0.92,0.16381418092909533
2019-02-01 17:45:00,0.1,0.0,0.0,0.91,0.05,0.98,0.92,0.16381418092909533
2019-02-01 18:00:00,0.1,0.0,0.0,0.91,0.05,0.98,0.92,0.16381418092909533
2019-02-01 18:15:00,0.1,0.0,0.0,0.91,0.05,0.98,0.92,0.16381418092909533
2019-02-01 18:30:00,0.1125,0.0,0.0,0.74,0.26,0.74,0.2,0.15892420537897312
2019-02-01 18:45:00,0.1125,0.0,0.0,0.74,0.26,0.74,0.2,0.15892420537897312
2019-02-01 19:00:00,0.1125,0.0,0.0,0.74,0.26,0.74,0.2,0.15892420537897312
2019-02-01 19:15:00,0.1125,0.0,0.0,0.74,0.26,0.74,0.2,0.15892420537897312
2019-02-01 19:30:00,0.1275,0.0,0.0,0.39,0.06,0.53,0.06,0.15892420537897312
2019-02-01 19:45:00,0.1275,0.0,0.0,0.39,0.06,0.53,0.06,0.15892420537897312
2019-02-01 20:00:00,0.1275,0.0,0.0,0.39,0.06,0.53,0.06,0.15892420537897312
2019-02-01 20:15:00,0.1275,0.0,0.0,0.39,0.06,0.53,0.06,0.15892420537897312
2019-02-01 20:30:00,0.15,0.0,0.0,0.43,0.0,0.71,0.01,0.15892420537897312
2019-02-01 20:45:00,0.15,0.0,0.0,0.43,0.0,0.71,0.01,0.15892420537897312
2019-02-01 21:00:00,0.15,0.0,0.0,0.43,0.0,0.71,0.01,0.15892420537897312
2019-02-01 21:15:00,0.15,0.0,0.0,0.43,0.0,0.71,0.01,0.15892420537897312
2019-02-01 21:30:00,0.1575,0.0,0.0,0.4,0.0,0.66,0.0,0.08801955990220049
2019-02-01 21:45:00,0.1575,0.0,0.0,0.4,0.0,0.66,0.0,0.08801955990220049
2019-02-01 22:00:00,0.1575,0.0,0.0,0.4,0.0,0.66,0.0,0.08801955990220049
2019-02-01 22:15:00,0.1575,0.0,0.0,0.4,0.0,0.66,0.0,0.08801955990220049
2019-02-01 22:30:00,0.1575,0.0,0.0,0.1,0.0,0.17,0.0,0.09535452322738386
2019-02-01 22:45:00,0.1575,0.0,0.0,0.1,0.0,0.17,0.0,0.09535452322738386
2019-02-01 23:00:00,0.1575,0.0,0.0,0.1,0.0,0.17,0.0,0.09535452322738386
2019-02-01 23:15:00,0.1575,0.0,0.0,0.1,0.0,0.17,0.0,0.09535452322738386
2019-02-01 23:30:00,0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.13447432762836187
2019-02-01 23:45:00,0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.13447432762836187
2019-02-02 06:00:00,0.06999999999999998,0.0,0.0,0.29,0.0,0.0,0.97,0.16381418092909533
2019-02-02 06:15:00,0.06999999999999998,0.0,0.0,0.29,0.0,0.0,0.97,0.16381418092909533
2019-02-02 06:30:00,0.06749999999999998,0.0,0.0,0.3,0.0,0.0,1.0,0.16136919315403422
2019-02-02 06:45:00,0.06749999999999998,0.0,0.0,0.3,0.0,0.0,1.0,0.16136919315403422
2019-02-02 07:00:00,0.06749999999999998,0.0,0.0,0.3,0.0,0.0,1.0,0.16136919315403422
2019-02-02 07:15:00,0.06749999999999998,0.0,0.0,0.3,0.0,0.0,1.0,0.16136919315403422
2019-02-02 07:30:00,0.06499999999999999,0.0,0.0,0.29,0.0,0.0,0.98,0.16625916870415647
2019-02-02 07:45:00,0.06499999999999999,0.0,0.0,0.29,0.0,0.0,0.98,0.16625916870415647
2019-02-02 08:00:00,0.06499999999999999,0.0,0.0,0.29,0.0,0.0,0.98,0.16625916870415647
2019-02-02 08:15:00,0.06499999999999999,0.0,0.0,0.29,0.0,0.0,0.98,0.16625916870415647
2019-02-02 08:30:00,0.06499999999999999,0.0,0.0,0.29,0.0,0.0,0.96,0.15647921760391198
2019-02-02 08:45:00,0.06499999999999999,0.0,0.0,0.29,0.0,0.0,0.96,0.15647921760391198
2019-02-02 09:00:00,0.06499999999999999,0.0,0.0,0.29,0.0,0.0,0.96,0.15647921760391198
2019-02-02 09:15:00,0.06499999999999999,0.0,0.0,0.29,0.0,0.0,0.96,0.15647921760391198
2019-02-02 09:30:00,0.05249999999999999,0.0,0.0,0.3,0.0,0.0,1.0,0.16625916870415647
2019-02-02 09:45:00,0.05249999999999999,0.0,0.0,0.3,0.0,0.0,1.0,0.16625916870415647
2019-02-02 10:00:00,0.05249999999999999,0.0,0.0,0.3,0.0,0.0,1.0,0.16625916870415647
2019-02-02 10:15:00,0.05249999999999999,0.0,0.0,0.3,0.0,0.0,1.0,0.16625916870415647
2019-02-02 10:30:00,0.05,0.0,0.0,0.3,0.0,0.0,1.0,0.14180929095354522
2019-02-02 10:45:00,0.05,0.0,0.0,0.3,0.0,0.0,1.0,0.14180929095354522
2019-02-02 11:00:00,0.05,0.0,0.0,0.3,0.0,0.0,1.0,0.14180929095354522
2019-02-02 11:15:00,0.05,0.0,0.0,0.3,0.0,0.0,1.0,0.14180929095354522
